service_id,service_name,service_desc,service_price,service_code,fk_service_paper,service_date,fk_service_fonts
1250,ON589,BPJLPPM_EQTGHNCAQQK_[Q]T]W_[^CJJUXQY_KQY_B\]JJBK\JKLHMVGM^NIAE]UXJXVWSC^VGEFIF^PCOQHXKZMJLVZASAOCGYBUJYSQIV[\WJ_AS_]GA]UFPN\NS,764,#2004914,851,11/18/2005,2070
1251,SE1331,X[SWZ]GITDDEJRTD\^_ZPFC^LXW^U[VOTOVTHYNIXMHWCLYL[NOZEKVPWLPOS]PK_QV]Z[]FVETNEV[XSMBKFUMMAPHPVBV]^_UGSDOCJNRWO[UYMP[WSYPZ_GOXTA,533,#2004915,566,11/19/2005,2156
1252,MP1586,IURC\^\F]BULAYWLQHRJPVDRWLKWNEHXCWVRFAUKVLDL\[CR^DDAVNOPZ_HUNXGSLUKQH\[L^]_O[S_YOHAFMKB^LZOFFU[GR[_XFOIKC[WGWBZNKQZ_XYXWSZTUXS,793,#2004916,2260,11/20/2005,3220
1253,\J667,RKW^L\ABQCX_JUC_JALKDMTJPJBNNOCJJ^XNPZAYGMWEELWZ[UJUOW_WTOJEPJ_^CO^WWKBZ\X\GMPX[G^BHMTQ^WSPM^NBRJDZLUHPON_BWQH]_TW\DK^[NYNZPTV,654,#2004917,1988,11/21/2005,58
1254,[R536,TXQW^RAN^RRRN^Q]E]N]TBQ[X\PEGT_OTPSMIKFNB^QVN[[ZGKXNQYDWYO_SCUO[SCQF_\Y_HLUJEUML]FEZAO[^KHG_EFRSQTPDCRL^]HHJKDKLYVZYNUUID^BSMH,652,#2004918,314,11/22/2005,3685
1255,QF481,IKOAUCMXEEDGNWJEN^XBCBY[RS]U]A[GD^]WZMKC_X]TZUJBQEKRPUP^SJ]IBSFNAIOWCQ]EHJ^^FNSKAZATRILMYTJWZ\OMRPSRCKOSBTR_]DTUZ[HQZQQL\UQ_TR,577,#2004919,1351,11/23/2005,531
1256,MF833,O_DUHRZNTQEC^PSPOFJDKBZYJSRYYJHMLZN]FPYX^JIS]KUDIMYSH[_N_O\QYCHXNLSTVQIIWAUHAVEM^J^YN]VIGXTUMI]M]]KWBPIC\BD^K\NS^FHATJMT\YM]^X,822,#2004920,3370,11/24/2005,331
1257,FP734,^TMBRHVVO]FAYO[ODOBGXTAAPOWGKLZ^CCYE\CJ]^[G___OQ^^NVT\ETGIK_NH^RTHTVZBZNUBR[OLNV[TBJBL^L_ZFJ\RXUIZC[WKIC[^MSVQMD_JIPHU^LAGMDM],338,#2004921,3249,11/25/2005,472
1258,LR1393,_V_FANP\]\OJTRVUBCNP[EOHSBDXQNDUWHOU^\XFNKQ]RNQCDWFSZKEBACVBJZ[HGUZPEJEBOFQGIBNUXUBJRNU_MWEPFXGZVAGWEPX\\ZHDCVQGNP^ZYQSPKEUMC],596,#2004922,1840,11/26/2005,1253
1259,GJ1365,JL[IPWQB\UK]XVS^TOBAIYXOP^NYH^MGGXDAM_SOGBVIHWQWVK^FD^OU^YDDELYJVIKRS\HJMFRPCJLXE_P_HYY_EJEKH]OBCXKR[X[OHUCSEB^R[ZST\FLWNGQXBE,864,#2004923,1483,11/27/2005,2606
1260,KR1301,B]LQYZYWPRJUU^KVOQXQS\PB]D][EWKVTOLDZREWUCOPN^P^PUSWF]ZZC_IJBYO]^UW_IIQKBIGMESWTKP^EGUF^SIE\MPAWZBGMRGDENSMJF_UCBCWGOMS]GDRK_B,445,#2004924,227,11/28/2005,802
1261,QM467,RDW_ZXXKBBLPVRJMN_YZ\BLJPJYLKCWBTWMLZMNXR[LT^_TPS[\YTQXQOCZJ_OJWYP]UUJCX^HKAXHE__HOW^NWKEIX_OSUG]]R[YM]FYL[ACLTHIQZUM[VSOBOR\B,511,#2004925,1685,11/29/2005,3255
1262,^K181,UQIDHPZ_]H_FRWAZSDWP__]BXSZ^HPP[RUAILJJ^BCMMKRIEZCYLNMAIKUJKY[QPR\_KH^][IGYBNKTOOTB[S_FFKTKJOKEDC_MARELMJJET^MRMPU_DIDOHOTRUS\,893,#2004926,831,11/30/2005,3132
1263,LO246,JYCVUFBTRNVHZJOM[SEK][YGW]KXQDUTJIU^[]BP_EKY]XP_BRKLLAKZBSNB^SHPUDW_XDCFJGKZZXAFVLRJSRFUQNNJYXTAOFTPLQXMKPUOK^H[]F\TNY^^HFWKAG,937,#2004927,3292,12/1/2005,580
1264,DD993,GAM]KONSNKMRJLD]IQCFZT[YLDW\RCH]^^XZXWLTYVWA]ZF^DNBSK_LD_V[ME^]NA^SXHXFTDPTAQZZ^\XGR^FGQBHLE[WSC^HLXAYPTI_OIZ^XCAKGUFZDU\UTE^D,300,#2004928,26,12/2/2005,3833
1265,RB1337,U]MX[SXW\BFRFRKOKGNZACTS^BQBSGARV__ZBGEFVCAZGA_IXQI_SYG^OVFSVMBVGO^][QK_RGHHZJDXQM^HRPJLOQBBRI_JXNZECTLN\C_OROBPKR^YGUMTWFOSRG,514,#2004929,890,12/3/2005,1209
1266,CW885,WRWPIRP^ZFBC]T]WUCBT]UKBOGKC_THHGFEQWEYHZC]P[EZBKSZFLI]KSJJYQU[]XVR[_M_]QWRFXN\QHAHYDZ[VK_DIGM_FKCWOQGYSJQID[E_DVRAO[LETPNTXDV,301,#2004930,540,12/4/2005,1307
1267,\V27,HTDGUFHQHETRNSUONB[NOX]S]TXXPDJ]]_U\YFQVN^KQSEF^ICDB_YPBJ^FUGEJMNUKW[HWQVNTTQQWS[^WYQUYDTZDDMD[BR_IF_TXKCCUOULJVMHH^YDGZX_^LHZ,592,#2004931,2064,12/5/2005,1137
1268,\L1526,NVZLJPKG_OQJ^HGWF\TN[DQT_IDHQATPFFY_O\MWB_JFSGKSUJXEJBTPWYXCRQGNZE_UZAWFPHIBHESJJ\TKM]F\RTWVEDZYK^JMUOUFUVS_EPMWDXW[AOYADAXYCO,892,#2004932,3935,12/6/2005,1047
1269,P^390,^UEP_ZXNXHULMOY\FYENTN^NTTAIGATKBK[Q]WHNHENJHSLJBHN^BSCVAELRICUOAFDWOSDMDYNMZTHGZDREIWNOALEART\IUUOWZ[QJSWKRNOZGVV_KYQCVUFBEN[,850,#2004933,73,12/7/2005,753
1270,IO760,WK[JGTEP_SQYDZZHX[IAKYSBJAUFEV[CSG_RYCWBJBWUOCHR^N\ASVAIUEZ\N]BEOVELQ\LPO\[ATZJ^REUMSJOJYHDPPRKFFCUSCQ]B^_KPOV\SXFHJIPXAV\[VVW,426,#2004934,3870,12/8/2005,1332
1271,LT251,A\BWZ_FNSISXSBTMDYSD\BFOAMOFWA_WGYHKVTD]\_RVXDW\T__ORLQR_K\[JTVORYSNB]G^^ITERPWNZMGCWUZMXZH^M[_Q^OKH[LBKJJKRVUZWPNNPIYDZDSQVPT,331,#2004935,1106,12/9/2005,160
1272,WY1832,TUIQA[VEFGTMOTQE]PYO^[_VPYMOA\S\NVRJJCMGTBIOI\NPQRJ_O\ADD]WPXMCM]OWJ^RIQWXEYLLUYL[TZBELIY\CR]C_ZTR[PTC^L[IH^PPF[BTQXDDPCCKVZKH,901,#2004936,1964,12/10/2005,884
1273,OD557,DORYGF]OIOQZBOECQQIFWM[^PNK[[AY\]SQAN^QXBWZWTBS_SUHFNWWBKWAELAXSVGVSNQNASUNE][CWFBTMMBSCYRN^GHGDAHDRQEFCAMDZHD[MAVJXEDM^BNE_GG,757,#2004937,3213,12/11/2005,75
1274,LE354,YTJZGWDVHMD^U^_IH\XQS^UY\TVBZYXC_WYOJDSISYOSCNLFJ_S[RCBY[HRUC]QCX[YEQ[R_J\L]ZLFDSK^OYISNRBXFYLZLSLFIVWGBPJN_UOSDE[^ZQTT_B^[TTY,374,#2004938,2262,12/12/2005,1977
1275,XS1181,\_YH[HAGF\OGETTSIXLMWVAH\GPHFROMFAS[LPLSPBARITT[DSOFUOOUAOC^XJPLVBQJABZVWW_ZMAEZQHADTU]QDC^JJ]XKRRHFCXAL_JSRLUBXMBKAIYQFBYNCFQ,417,#2004939,960,12/13/2005,1514
1276,AQ1428,BQDDTSKTUCHII]\S[ANFRLBKGXDGTUKRRJXP^OQVPNGBHSIGENMAO\NYBOYB\WNRULRNGRU^VXJRLK\^XTI][\[PSXEYMDVRYTVPGO^JSR_PGHXCFHGFVTZHNF]WBQ,496,#2004940,3102,12/14/2005,656
1277,L_301,N[JZFPAI]PNFWNCTL]YNJLWTZ_FN_KB\]GGEWUTZTGN^FV[VAIDLR___R]XURSO[IQPPJFSCVP]^_PYS_S\XVMPVBKVGQGU^OFXWRPREUPLGGEAKK\KDT^XUWLF_EO,598,#2004941,1095,12/15/2005,3872
1278,]X182,EHNST[]DUOCCFSW]MTFVGP_^SAKUM]Q^[Z[UYJCSBMF^PJ]XDVIKFRBEZU^LAUH^JH]II]QAVTNJTKR\FLBKW\YEKK]VQKQFO]RUZN^YFYUTETZ\KMUNMNSNEUHECG,932,#2004942,142,12/16/2005,259
1279,]M913,_[\PXUGU\OPA]IYEQEI_RQ]SHK_BTDBPNRKMRJX[L[EVQDXSJ_QWTN]UFWSYW^XVWJBMUGQ_]SY]PWO[[ZGTR_KBATGZQD]SLYFVWOECCA[MTHTJC[NPMNHIHWG\ET,338,#2004943,77,12/17/2005,757
1280,OI1456,FLPI[[LGVHGKSNPDZGG[AUVWE]GU\[FZZXEB\YM\\[GPKY_MLUE^MAIQOE\TOBKX^Q^YBJEZCSQ\Z_MCIUDKEGFMCVH^GU[ELJWOYJPMQC\_KZDWYAAFH_YWWJPFDT,942,#2004944,342,12/18/2005,804
1281,BU1657,QHSZAMKSDGFD]QMDZUQVMTWDUWDBLYYH[LHX\NS_WUWQD]KEWQ]AYNIK^\QNMVUPBK_[HVKEWUES^XJMWHBBI\BFA\R[XWATPLR[DT[EFMF[QXSJ_[UC_\F]CTTA]T,887,#2004945,3460,12/19/2005,3826
1282,WF401,PTWGWRCZ\O[A_^MJIGTWC\BX\]\HGXKWD_NX[QVWT^]OXOJUUKTUAJPN^\DXBLPN_[T_HLXVKAVBV]V][P^IRGATNGFLBPLP]DYBKUZVV_D\\UVD^[PB]HW[VPEYFC,992,#2004946,3116,12/20/2005,2092
1283,YD562,HSQY[PGFRMMZ\GICQUMTWGWQNL]P\XMKDUBQIYOU[_SJH_IKPU[TCFACQTMU\Q\JYKDIEOCAAIGNRYXD[J_RVIPRPOYJ^]^NBVZIXSW\MTZ\NSHIQLADWDDG[_BF_Q,721,#2004947,3836,12/21/2005,3137
1284,O\184,CEDXOSYDIAWPPMNTBXBQDKWH]VB]YP_XKFFVXR]YMHZRSZFNTDGSCXKIMY[XJDGPVQN_CZAGHKP[W^T^NGTZXSBX\WOPRNRMAJ\_ZGNOOGG]NK]UCW^GAMBDKEP_J^,710,#2004948,3100,12/22/2005,1994
1285,IC247,U]FYR^ACYLSQEEDVGBCUVR^WCM^BFGNPDHZ[[RA_B_UEEIBQNAPZHJFLGSJ_]ICYVBDALNU[RAI]BISNJGOFZQVL[P\_UDLBPM[GKDTVJWOWLMBB]MOJC]OXIADMAW,538,#2004949,3065,12/23/2005,2922
1286,MN834,QPVDYBU_UWSAINJ^M^PWP_MMWILLXSRN^CR\BAUZXWSMKQ^AINNKYMC_[BJJPOOKPZABRCVELFJQZJAUNJGPEJW\IOAEBU^GTJGUZLCKLODJALNZKFKG]NSIMHXKOQ,930,#2004950,1317,12/24/2005,1603
1287,^U1116,VUOC_GAXMVZFLIZBPLL^_JD]HNYVHXKUDGVENDKC]WSVD[UPMUQQ\OCZGR\UKK[OLSQXM\Y^YMRNRIC\BBFTGWC^MTA[UMFKQXWXM\\UG]\D_X[UMNHDK^LOOLOWXG,475,#2004951,2924,12/25/2005,1432
1288,JE541,RTK^QCWFUDKQQX^V^GXPEFDZH__OWDGHFTHMOCCNS[LY^M_O[FS_KP\UWPRYFLNCO^TVFWJO\E[^DDTKHURXOJDVXO]JUSLE[DSSOQWUUFJNWK_VDB[W]OSKT_^MZS,452,#2004952,1917,12/26/2005,1080
1289,AV344,]DA_ZX]GWKZ\KN\DACQIWQVHL[NC]XBJJXVCVX]NXUH_GGAWG[EAUQ[OMJXEJORGGWFKSQ^^QG_PGWDTUBGGI]PQAURYJXFZNSHIOJUW[GGKMHIBJYQ[ZIMKOFG[WJ,304,#2004953,3433,12/27/2005,1366
1290,Q[835,LD_VRLVTDLVN_IVKPEJRBSCXGDBFDIVAOXCEXWSSZT_FQNNLUCRJCEOP^TRXPLG\F]HG[^Z[_VPFIOF\GBGBBLLVQ[TIGH^YCHLM^YWHWITBFRMP]MSQGBZJ\RLM\^,403,#2004954,3115,12/28/2005,1152
1291,UA762,^BKRPPBEF\LSOQO[\GCJ]YQZF]OOKFE[\I[[_G_ZJENZ]^YOGUHSZYVPLYQTMG^ALB_TMNRSIVOUG_WPIAEU\I[YB\BQXYAPNDF\B_IQSM^N^YKTYYPWZR\KHPJMVC,905,#2004955,3867,12/29/2005,432
1292,XX1537,GOPLR^DC]BSIJTI\XDHBEHGO_[WOQPDL]BJA_JQDB_DBLC_BMCBPPWZB\AF]^MWCVLZDHIPEA_KYQDSOZH[PRB_PLICVKLAKNBJA_BWAJAV_CCFQGRHCOYHDKWJ_[^,461,#2004956,342,12/30/2005,2249
1293,]R1675,L\NXPZMYS[VORKDTJRN[PPGP[BHL\RLSCJWSZCOHD]QWRTINECKG\[GH_ZIWKXNFY_Q[CBM_QWT^UIXMUPIIZLYQZOIPNO_FKTN\ZL]HB_SDVAG]C_ZGRSJAULEMFI,415,#2004957,167,12/31/2005,3272
1294,FJ1258,EI_OYPL_HREURTJLWPO_Z_RRUBES^JDIMQWMCE^_AIIDZNFK[LUEIR_AP\QF[THDNURNEZNVNDJZKYDSHEVFAF]HUQPXDVJFCVERPDT_H[^[]UOZBRHUZBTJIS]USR,932,#2004958,3305,1/1/2006,3430
1295,Y^612,QQJBXGDUQMEEB\QZO[BGS\\__[VDOSIXUG]N\TFN[WZHT]T^NGYEQCZ]SOSAT\[EE_O[JEMUTNSCU^\^YPX^NZ\\__]WX]_O\QZ_CU\LKKENIOA\TCMTBNKY_UHHPU,982,#2004959,2166,1/2/2006,518
1296,DQ12,_[QLCBIERYKQ__GNNH]HQVWMNGJTUBDBBVAHT_WUV\H]WFK[NVM[WZEYJPN^KXPNAAYLH_\[FMFI[QZXG\^CCXXWSVP]__UOFWMPFJX_CONJJSABOUEDRJ^VUARDIQ,599,#2004960,2698,1/3/2006,378
1297,ZW801,^\LWESXPM\OVSGT\DVSZ^IRZNGS_GF^]QQBHXWTDBPGMZJQOZIMWHJ^MCPOMBM_YJOA\EJEWHTQXL[QY^BUHFMRFTQPBRL]FKVSR^JHTHWUP^TXJHEGBYQNP^PACMD,380,#2004961,1393,1/4/2006,1659
1298,[T1125,DY^Q_IRHDPXXQJME]\GGOP]D\ZMONKCAR_JUAVITV_SCGZQI]EZCIXBXFK_BR\SISFZA^R^W[DX]YISD[L[LOX]FHBFQU\EF_XEIU\QKY^NTHOFQJPFMDHCVE]NZOO,408,#2004962,1694,1/5/2006,3023
1299,TI1979,SN^JHWMQPEXY[F[FSP\RLYZOHNMEL^LONKFZ]SFNCO^XQNX\MPAH\LHV[UKBHI[F^JRVQSTYOZGKLX]NHXKN_[UU^__ZBV]PR[HHTCINVPM^NLOTR[MCJ\\\^UMGSH,963,#2004963,3552,1/6/2006,2006
1300,^D54,PGH_KLTZYEODFFKIIMLUBNF]OWNXJPHCE[LFI_NQPADPZYAIESRN^O]^^XQCQRQQINPEEOLAGLFD]BP]^[UNRHXOIB\JC]JJJOF_QE[ZDFKCWGW^GFRFLUEDZGTPGB,566,#2004964,3138,1/7/2006,1457
1301,TT689,^VCSN[XZBQZZVEXXK]UOPHY^RPMHXCEGV_DNSJXXI]]WF]TFSUV]XGDI]WJPN\OUNKRWKRU\_G\J__\CJFLG^QQRZNG^PQNB_]]CBDGFHO_RK_HAU^VPDZNYBGCBUB,636,#2004965,403,1/8/2006,1007
1302,KT1218,NCMWYNCBQTCYAU[KIIZX_MVR_HOAYFBWNQXFB^_QCWYWEBVVCTGRTINKU_DBXKPGAP_JREBDLBMTMV]]HQOFVQGOSY]HEK_[ZVEIZODDQBRFRHLAHMCIYFCR[NAFMV,428,#2004966,1527,1/9/2006,3305
1303,ZC1381,^BSIZOOGJQH_YAJNW^TSNXEXTNOBLXE_BXWSNJUUSJRILBONGFGASO[G[_Y^X[YYZ_IMIC[V_XN_PODXPQPUG^UC\YYHFXZN_NWKJOGJE[LE\_O\QEJWSFK[HARPSU,874,#2004967,1697,1/10/2006,3513
1304,DI1389,DP_^ANGSJMO[OBR[CT^B[T^YJ[_RRPA]RVQLDD[TMGGBBYVX^VQKGZ\SE^DC^BOZBEGRV]D[_SW]QDPZS[I[CM^[IKSW_\]NBZPOXZBEREN^JUJO_CCEDBT^KIQHMR,301,#2004968,2130,1/11/2006,2847
1305,Z[143,CNVZ_EAAFPAUYOPHRXDFPISGG]\H[OOVHFKNNAIBCGFQ^UFRWLNOTGZN\KKC\DSKU_DV_GHGUAA_OIKK_PLMMKDCAS\X_QVQVSS_NIC[XIXSBCJQ]]OFV\]^RCNNQY,697,#2004969,2282,1/12/2006,673
1306,WJ1946,\G[UM_FMVCFLTQX[DIYRUCMBA]S^_KTEO[AFDIAQA_PIQZNJHPWCQ\NG_URT^TWN[AIBAV_]ERNQJR_JWRM_CRDRM_VWORMX^HYWE[EWVCP\MFP_AOFPBMQAJMQCPX,471,#2004970,2965,1/13/2006,2927
1307,T[1157,YHSDGZLN[JODVMKENDQMJHCROO]\YRJFC\DM_^OVUDKXZMIIGPUP]TXYGTWU]EPJLT_TTTIMTHCSKOK_AY\NGBXOHHQJLN]AXEXMV]PAZV[FSWODFBM]GRYO^I^BJP,320,#2004971,1747,1/14/2006,3217
1308,I[1801,DJFD_VAJA_Y\I[QVTXM^D_COGLOAG\BSVIM\EWIKOCXTQ^[QWZKOIXDR^WJJ^L\CJZSO\TFAFHLUOKLYVFK_D_UNLWBLUB[C_HS\GEMJIRTAQF^V\ZPP^DW^D[WXO[,959,#2004972,677,1/15/2006,3139
1309,CL1713,NYKBJJ_\MR]RQX__EAVRVH\[X^JULNWO_[JAEOBMWDUU^ANIVG_QRKBQJWWGJ[WJ^TNG][EXKLW^AQGY[GA\BPHZWVN^U]\IH\HIPKCOGLNW[KK^MI]\PQWTN]\THF,438,#2004973,1080,1/16/2006,3828
1310,GL14,I__YHMGKS]GUIKS^WCIP]N_KWEXZA]X_HUTOZJYEJYVXEVIFMTD^WFFUBJVUDH]_^EBGPJ]\HNJIV[QGQGAPCS\]IP__QVN\RQJNYGXA^_EXG\ADAWDVYKQDR[NM^J,639,#2004974,3021,1/17/2006,3604
1311,SI1624,IKVSKYIOKGZW\ABFQI_USCUXFQVDAW\SUGEQQ^\CE]P\FCKAEACX_AFXLOSINHQ]IN\ATCHIBY]UX\QW\ZEJFOADO[FSWJXO^E_\P[FZMPWXY^MCHCK\NIGNOB[J[H,797,#2004975,2533,1/18/2006,1215
1312,\^1099,UONEBNNFMAX\]TAI]\\[QLYHPDNDF[YDUNX]]\AJRGCSRPMLLBNZJYSXACQLV]CZAUPFPYRXQQ_W]HIRXGWO^MT^PS\[STKNG[E[WHPFANXVOHDAXXTBNDTCPDMICR,781,#2004976,1810,1/19/2006,3160
1313,XN1770,[]WB^WCLDLSUWERYAZP[RAGAQU[[Q]XEXYJS\\ZHC_ADAG^MFFZSRA\RSFLYSLWVSBEUXHBYCSTMJ]_LBMHJ\WCAXCGGC\JOONME\M[RBEP^[HZ_IACCWKPU]EPH^W,421,#2004977,3943,1/20/2006,3166
1314,ZD1390,JA_TBCXKZP_]VISG]TWXSALWTMCAQN[WZBXAWJPAAK_RQDOSAKF\ANQXHH[HBXYTYGI_YWNUQH_KQSFUPDFORES_[M_JBEKM_KUFOSPRXGEM_ZQ_ILKU[ZRQH^PLVM,667,#2004978,1008,1/21/2006,893
1315,OL223,C_SOMY_F\VYBQ_UCPXR]ELRX[DKWCHLDRGISDPBPH]LXZSHGWWHTTRJZSMWEPSDKOSYEDYWDUGVJR^[M^^[FA[Z\OQT]RUGSDXTZOPXKMYYUFIOOGF[IRAA[\YNN\_,637,#2004979,3939,1/22/2006,1415
1316,ND1199,HOVHECL\LG]VSNT^H[JZ_A_AOCDYLCIARXQJYO[DTF\XPYUY_\YCOPGZEGJCFCOTKXGDMANN]BMYPBJX\MEPRONIRCI\ATNGVC\OKWNNXIMBTLTHHWJQLDIPREAA[Q,694,#2004980,3118,1/23/2006,2739
1317,]U1688,\KN[VWWED]O\SZ_H_OHVM^FO]HMF]EC]USIR^RZWLFC^ZYMXYQWLYMXQ__NVD]\]G[RVGTSOG^YCK\^F]TX^SAPV[JKK\MYHIHQWRIC[[T_DWLVXPJQ\LTLBPXG]CU,803,#2004981,3678,1/24/2006,947
1318,[X668,XYLPBWPVGUJLSKO_VGECWHK^BIKV]^[U_TNZNW[UEY\C_FSWOSGU_OR^JFZT]WYJ_CGD[CV]NGYGVUEEOSLFRO^KXZIHRHCE^GPENX^QEVJOQR_I^XW\OAASHWHZN\,307,#2004982,1570,1/25/2006,696
1319,AW1656,EZ\F[V[RPALLGVUXKTAYOL\]ZYJO^JXURL_MCSXL\YEXO]QOFCJKSY]MLCHICCYIFRCAS]IEENGLPL[NWAF\_WMSM^PKWAWGJM]WXI^LQ^NLEDISKEEOMPPZYZ\^N_,403,#2004983,3530,1/26/2006,3205
1320,LS60,FPNUMSNPXV[PS]QGV[^WV[TXBIBZFCYEHIQKWFKKMWMM^UNQGDDIBUHB]UA_OCO\URKLLD]UGUGQ]\^FJ]^L\RVVUSV_KNGNRTNGVSAMTEO]SGYVARUGOQKVMYZDSX,498,#2004984,505,1/27/2006,3600
1321,JE718,GXIVDUYKVDASLYDXDJFH\CNBK]UGSSNNIFLZ\CAQOHQCVI^GSKUAHQ]OGPY]TE]XMB[IK^SJL_M\PGKWKD]X]ZHNAGAV_KIRLTCILYYICXXFMTJTP\_UEBPNST[QHJ,423,#2004985,3077,1/28/2006,3585
1322,Q]277,PCQQYKVCKCUTOLV[EQI[FFXHJYJ\ZYXIAETUWGN[FOLKRCYTCB]WH]IFSUX^ESPOE^PE^K[NIX^DKK^_ZWIXJLGBDV\TW_F_\CMXKKWQFMTKGMYDD\MP[DTDWKFG^[,935,#2004986,2008,1/29/2006,1805
1323,B^1760,ZC_IHJTPXUVZ^TGAHW_GRSJUM]POVHJDNEJROUGSUAFLCTUDPDLSLBEUMKXXLAYQ]VPQDOVKYCQ]^MCVWOFEFNKHQ]FQC_KLCM_Y^AESUMJLQ\N\[_G^ZENUQXIUY^,316,#2004987,2706,1/30/2006,2048
1324,V[1441,ZCQ_DKMCFBPY^GB\NIMQJNBEGSQS[KPJIQSIMINASA_UODFAHVHEN[O_QIHB_GFXVBYFZGWJCXGIYWYDJ_EUXPU\JYLNSU[UQ_NR]WUVGYXEBOWZ\B\Y\HVGPJA[LM,871,#2004988,3122,1/31/2006,2294
1325,IC392,ULUAIETKVHP]KJINZWCGK_HDAXMLTVNN\V_[]^W_EOPAHQTHFLXTGTXQAAJVTKIRQPJ[ZAJISPT\KUA[K]XXZMIZXVQLFS[FY\EHZY[_LYPZUK]]VL\GTLEK[ISBKJ,885,#2004989,2837,2/1/2006,223
1326,ZJ1183,^VINHHFFCORXPWSQXEREU_SEASSQR^PZWW]CQLMJCJONBATAWRGVNKVWZNUFP\A^F[A[JP[SNXE_JLHJXC]DFRYKNZCDLSFHMRKEPKGVYUT\\DZFLMJJSJKD[\VHFB,391,#2004990,621,2/2/2006,1217
1327,TX1228,N]GQDQRA^]CRKP^IUJX\AYNRGFBBVC\VF]JHY[TCQZ\ZRU[CHN\YVORIZHR]AB]UZHUXNIW[LCSQNKKRH[L_MDBUWATIFWRXADMY[JIH_FCHG^EZWMXF]IIYJIZSNI,665,#2004991,2303,2/3/2006,2080
1328,XB1920,^GO\GC\NKFFACOHDTEVFEZXZAQONDR_Z^UTRVOCFJQV[NR_Q\YFCNXBLZAY\LRVUZRUXDXYSIEO]W^TZ^HV]M^OPFGDZNAKFKWTWZYEUDMY]BA[M\_NYDJIPS[GK^_,851,#2004992,762,2/4/2006,174
1329,XR1921,P[R^[EN_\ZAZE\WXUDQANQOCVZRJTG]WPQ]L\XJQKYIAPKTJWXBKYSAT_CDUIEEABFGLSXASL_OR_Z_BAAS_UVSUVALDBRAMJLZUCEECIAL\P_O^YFFNIWTCXSILTI,958,#2004993,3017,2/5/2006,2484
1330,P\1429,F[EE\^DHXVIQVJKQLKIKEDVAKHB\OX^BCKGG^PBAHIXZDZB]TX]OQZMLUUSXQBGRVWIIC[J_A[CSAC^Y]RT[AQ[NTJN^R\Z\[KXNGWEUUKGEXVLWMKKVFR^\XXCD_U,408,#2004994,838,2/6/2006,3568
1331,LT958,DZAACIHFMXMSINNODBDURLMVOOPSRMWQTSMGMP_^ZFIC[FZHHNHJG\BBUKVTFEBNWFN[SLBU^^F^WRLLRAFMMWSTSEPJAK_Z^VOKJINEWSJMHKBPAXOVMECWB]]]QS,680,#2004995,3832,2/7/2006,2347
1332,CU1985,XB]GAWMY^DDCNSUM_OQ\\VUU^S\P\VIKQAEPAO_DPDVGARUUIUNK^WXSPQJ_PG\]JW^[ZJIYPEOEH^^__[OJCZCOWI_QLOLSD^QFDOL[K[TLMQG^FI[L]GTBIFDY\\,815,#2004996,815,2/8/2006,566
1333,HN239,GYKPELHDC_KYTGVBGEZPTWVYNCPIMGA]T^WTYECGO][JP_IBNKTIHLWT\NUHLIJYLSYH\JIBIIBL^VQNOQXZYB_FS]_NEUJNQOJCSLNBDA^T_WZ]PHMJCC[EJV[TUV,734,#2004997,243,2/9/2006,1932
1334,VQ607,EI\EKYXMJQLKXM]IH^DUQCGMTXHTUOT^CE^[UHJG_UQCUGHKV_GMKLMG]DYC]QGHXCBO[B]XK]EL]CUWGU]FBJYNIIWHXYJLIJUEXIQSGJIQNIPLBLGGBTHBIU\C[X,568,#2004998,2345,2/10/2006,804
1335,VF839,OK]OBFUCRRENBCANRSVGUENH]KV]KBT^KUXOOXYWRU[\UJDZQXRGANO]ZXQFQXICVL[ZUWCDQLAX[]FSS_XLAZRPLAMW[FQKPYTSNLNCJ^MNJZERWGWKGNJMLHYZT[,448,#2004999,2625,2/11/2006,2427
1336,VG1289,T_NMF_BBNJLNUT\MZHEHCB[O]XGLW[X_UKSUHMZ^CNHNRHMRM^ECQISVBWS]MYZQCZ[RETFFD]HKIFFNRXO^KSXYBWG\WLYTS^_H]ORS\_[FJMLLDPEJIQKA_G[DW_,843,#2005000,1626,2/12/2006,2141
1337,]X1588,LLSORESZDPAFFZ\I]^C]ZPZPMJ][COMXRYMIOUXKOKC[[YKFWSMV_ON]NTINF^IZPOLFOBOZHLYJ^O_[N\V_S_NNH\BG]FPJYORDNLLHIBWLGQLTAARBWMP\IQVNEX,652,#2005001,2561,2/13/2006,189
1338,LB1724,CBW\\K]RQGU_T]TYMAMYDBGZVO\BDBCBOI\LUTHTCZPB^PL]\_XNWLHK\P[IX]KFRXAVLRVZJPO]LE\N]UHST[UYAFTLLRGDFPPPZ\OXN_JYT\OOD^JKKKKE]YAFIH,942,#2005002,838,2/14/2006,3134
1339,RG1666,ZWC[AZGLSGUTV^SZ_BFKTVHPYDCL[AM\G_VB]HLYDNPH\RH^RS\QS_BTQZU^QYLIXW\^ESCK[Q_I\HKHRK^WO]MZW^SDSL[_\IN_]IN^BIEAM]OBZILIMY\DQ\WHI],823,#2005003,3160,2/15/2006,1208
